,_id,uuid,user_id,session_id,page,timestamp,key_stroke,zoom_level,lng,lat,stats,timestamp_pst
0,{'$oid': '6627e5e8fb500f596ec80e17'},c906a457-825e-4563-a7de-d388f9d2765d,user3,f6267fd2-22b7-40dd-bf4e-d776e1db2928,index,2024-04-23 16:46:32.463000+00:00,Alt,4.0,-98.5795,39.8283,,2024-04-23 09:46:32.463000-07:00
1,{'$oid': '6627e5effb500f596ec80e18'},27a5dcfa-c281-40aa-8f77-6a9e42bf0bad,user3,f6267fd2-22b7-40dd-bf4e-d776e1db2928,index,2024-04-23 16:46:39.925000+00:00,Tab,4.0,-98.5795,39.8283,,2024-04-23 09:46:39.925000-07:00
2,{'$oid': '6627e5f3fb500f596ec80e19'},02fccd78-5bcd-4808-ae5a-4b2dd247029c,user3,f6267fd2-22b7-40dd-bf4e-d776e1db2928,index,2024-04-23 16:46:43.337000+00:00,n,4.0,-98.5795,39.8283,"In the current view:

Population density is high in the right.

Population density is low in the top-left.

The average population density is 214.7 people per square mile.

The state with the highest population density is District of Columbia, with 10970.5 people per square mile.

The state with the lowest population density is Wyoming, with 6.0 people per square mile.

Press l to hear the boundary of the current view.

Press m to interact with the map.",2024-04-23 09:46:43.337000-07:00
3,{'$oid': '6627e5f4fb500f596ec80e1a'},92312111-7473-43ee-82fb-834c733eea4a,user3,f6267fd2-22b7-40dd-bf4e-d776e1db2928,index,2024-04-23 16:46:44.270000+00:00,Tab,4.0,-98.5795,39.8283,"In the current view:

Population density is high in the right.

Population density is low in the top-left.

The average population density is 214.7 people per square mile.

The state with the highest population density is District of Columbia, with 10970.5 people per square mile.

The state with the lowest population density is Wyoming, with 6.0 people per square mile.

Press l to hear the boundary of the current view.

Press m to interact with the map.",2024-04-23 09:46:44.270000-07:00
4,{'$oid': '6627e5f9fb500f596ec80e1b'},7102d81a-d5b7-40bb-95dd-d4eb69fd42a9,user3,f6267fd2-22b7-40dd-bf4e-d776e1db2928,index,2024-04-23 16:46:49.664000+00:00,ArrowDown,4.0,-98.5795,36.37124872375165,"In the current view:

Population density is high in the right.

Population density is low in the top-left.

The average population density is 214.7 people per square mile.

The state with the highest population density is District of Columbia, with 10970.5 people per square mile.

The state with the lowest population density is Wyoming, with 6.0 people per square mile.

Press l to hear the boundary of the current view.

Press m to interact with the map.",2024-04-23 09:46:49.664000-07:00
5,{'$oid': '6627e5fafb500f596ec80e1c'},41396e46-875c-43be-99ea-35c8d6cca22e,user3,f6267fd2-22b7-40dd-bf4e-d776e1db2928,index,2024-04-23 16:46:50.711000+00:00,ArrowUp,4.0,-98.5795,39.82829999999916,"In the current view:

Population density is high in the right.

Population density is low in the top-left.

The average population density is 214.7 people per square mile.

The state with the highest population density is District of Columbia, with 10970.5 people per square mile.

The state with the lowest population density is Wyoming, with 6.0 people per square mile.

Press l to hear the boundary of the current view.

Press m to interact with the map.",2024-04-23 09:46:50.711000-07:00
6,{'$oid': '6627e5fbfb500f596ec80e1d'},22965dcf-cde7-4c58-8d20-a635dec7ba5c,user3,f6267fd2-22b7-40dd-bf4e-d776e1db2928,index,2024-04-23 16:46:51.416000+00:00,Tab,4.0,-98.5795,39.82829999999916,"Moved down, centered on Kansas.

Press i to get more information.",2024-04-23 09:46:51.416000-07:00
7,{'$oid': '6627e5fefb500f596ec80e1e'},a289759f-577a-4715-8e85-9723ad28e1b6,user3,f6267fd2-22b7-40dd-bf4e-d776e1db2928,index,2024-04-23 16:46:54.430000+00:00,Tab,4.0,-98.5795,39.82829999999916,"Moved down, centered on Kansas.

Press i to get more information.",2024-04-23 09:46:54.430000-07:00
8,{'$oid': '6627e61efb500f596ec80e1f'},6a7e0c7e-aacd-4be7-8a7f-731ac81543a1,user3,f6267fd2-22b7-40dd-bf4e-d776e1db2928,index,2024-04-23 16:47:26.107000+00:00,Alt,4.0,-98.5795,39.8283,"In the current view:

Population density is high in the right.

Population density is low in the top-left.

The average population density is 214.7 people per square mile.

The state with the highest population density is District of Columbia, with 10970.5 people per square mile.

The state with the lowest population density is Wyoming, with 6.0 people per square mile.

Press l to hear the boundary of the current view.

Press m to interact with the map.",2024-04-23 09:47:26.107000-07:00
18,{'$oid': '6627e7cffb500f596ec80e29'},3209c388-b372-48c8-8135-21b791a3d6cb,user3,f6267fd2-22b7-40dd-bf4e-d776e1db2928,index,2024-04-23 16:54:39.037000+00:00,Control,4.0,-98.5795,39.8283,"In the current view:

Population density is high in the right.

Population density is low in the top-left.

The average population density is 214.7 people per square mile.

The state with the highest population density is District of Columbia, with 10970.5 people per square mile.

The state with the lowest population density is Wyoming, with 6.0 people per square mile.

Press l to hear the boundary of the current view.

Press m to interact with the map.",2024-04-23 09:54:39.037000-07:00
