,_id,uuid,user_id,session_id,page,timestamp,key_stroke,zoom_level,lng,lat,stats,timestamp_pst
519,{'$oid': '6628134b5b1b70d236b99355'},1f6d1035-3b7e-4a70-beca-b3e3dbf4c4d3,user4,bcc83cb2-1ab8-424c-b460-336955e8ad4d,transit,2024-04-23 20:00:09.225000+00:00,Tab,4.0,-98.5795,39.8283,"In the current view:

Percentage of transit commuters is high in the top-right, and the top-left.

Percentage of transit commuters is low in the bottom-right.

The average percentage of transit commuters is 2.5%.

The state with the highest percentage of transit commuters is District of Columbia, with 25.5% of people who take transit to work.

The state with the lowest percentage of transit commuters is Mississippi, with 0.3% of people who take transit to work.

Press l to hear the boundary of the current view.

Press m to interact with the map.",2024-04-23 13:00:09.225000-07:00
520,{'$oid': '6628134d5b1b70d236b99356'},b35447b3-79c9-4d57-920d-18d762c7ad07,user4,bcc83cb2-1ab8-424c-b460-336955e8ad4d,transit,2024-04-23 20:00:11.674000+00:00,Tab,4.0,-98.5795,39.8283,"In the current view:

Percentage of transit commuters is high in the top-right, and the top-left.

Percentage of transit commuters is low in the bottom-right.

The average percentage of transit commuters is 2.5%.

The state with the highest percentage of transit commuters is District of Columbia, with 25.5% of people who take transit to work.

The state with the lowest percentage of transit commuters is Mississippi, with 0.3% of people who take transit to work.

Press l to hear the boundary of the current view.

Press m to interact with the map.",2024-04-23 13:00:11.674000-07:00
521,{'$oid': '662813505b1b70d236b99357'},fd586a41-5ab8-4250-8105-e86c4ca9896f,user4,bcc83cb2-1ab8-424c-b460-336955e8ad4d,transit,2024-04-23 20:00:14.894000+00:00,m,4.0,-98.5795,39.8283,Now interacting with the map.,2024-04-23 13:00:14.894000-07:00
522,{'$oid': '662813575b1b70d236b99358'},90c70739-f1a7-4e71-95af-44109ffca3ff,user4,bcc83cb2-1ab8-424c-b460-336955e8ad4d,transit,2024-04-23 20:00:21.134000+00:00,i,4.0,-98.5795,39.8283,Now interacting with the map.,2024-04-23 13:00:21.134000-07:00
523,{'$oid': '662813975b1b70d236b99359'},440a8980-5d4e-40d2-86c8-2eef73546548,user4,bcc83cb2-1ab8-424c-b460-336955e8ad4d,transit,2024-04-23 20:01:25.136000+00:00,ArrowLeft,4.0,-99.875,39.82830000000004,"In the current view:

Percentage of transit commuters is high in the top-right, and the top-left.

Percentage of transit commuters is low in the bottom-right.

The average percentage of transit commuters is 2.5%.

The state with the highest percentage of transit commuters is District of Columbia, with 25.5% of people who take transit to work.

The state with the lowest percentage of transit commuters is Mississippi, with 0.3% of people who take transit to work.

Press l to hear the boundary of the current view.

Press m to interact with the map.",2024-04-23 13:01:25.136000-07:00
524,{'$oid': '662813995b1b70d236b9935a'},a52fae26-f35e-4c62-844b-2a9c02d6fa12,user4,bcc83cb2-1ab8-424c-b460-336955e8ad4d,transit,2024-04-23 20:01:27.263000+00:00,ArrowRight,4.0,-95.48046874999977,39.82830000000004,"In the current view:

Percentage of transit commuters is high in the top-right, and the top-left.

Percentage of transit commuters is low in the bottom-right.

The average percentage of transit commuters is 2.5%.

The state with the highest percentage of transit commuters is District of Columbia, with 25.5% of people who take transit to work.

The state with the lowest percentage of transit commuters is Mississippi, with 0.3% of people who take transit to work.

Press l to hear the boundary of the current view.

Press m to interact with the map.",2024-04-23 13:01:27.263000-07:00
525,{'$oid': '6628139a5b1b70d236b9935b'},b066c629-7f92-4b74-97e2-aa119a2d27f8,user4,bcc83cb2-1ab8-424c-b460-336955e8ad4d,transit,2024-04-23 20:01:28.444000+00:00,ArrowDown,4.0,-95.48046874999977,36.37124872375168,"Moved left, centered on Kansas.

Press i to get more information.",2024-04-23 13:01:28.444000-07:00
526,{'$oid': '6628139b5b1b70d236b9935c'},2bcf571c-698e-4b2b-ae16-4f62a62508c0,user4,bcc83cb2-1ab8-424c-b460-336955e8ad4d,transit,2024-04-23 20:01:29.286000+00:00,ArrowUp,4.0,-95.48046874999977,39.82829999999922,"Moved right, centered on Oklahoma.

Press i to get more information.",2024-04-23 13:01:29.286000-07:00
527,{'$oid': '6628139c5b1b70d236b9935d'},d229f108-d6dd-4ec9-aa36-0c05ddc50778,user4,bcc83cb2-1ab8-424c-b460-336955e8ad4d,transit,2024-04-23 20:01:30.110000+00:00,ArrowUp,4.0,-95.48046874999977,43.119768021213844,"Moved down, centered on Kansas.

Press i to get more information.",2024-04-23 13:01:30.110000-07:00
528,{'$oid': '6628139c5b1b70d236b9935e'},73ad0417-5374-4d9d-bf65-5547093524cd,user4,bcc83cb2-1ab8-424c-b460-336955e8ad4d,transit,2024-04-23 20:01:30.505000+00:00,ArrowLeft,4.0,-99.87499999999949,43.119768021213844,"Moved up, centered on Iowa.

Press i to get more information.",2024-04-23 13:01:30.505000-07:00
