,_id,uuid,user_id,session_id,page,timestamp,key_stroke,zoom_level,lng,lat,stats,timestamp_pst
63,{'$oid': '6626bc0b2639f3ccd1264121'},06f2de30-8073-496a-add9-fbc9825c214b,user2,03ca6510-fada-4fdf-8a29-56a234bb0c51,transit,2024-04-22 19:35:43.396000+00:00,Control,4.031011907437706,-96.0,39.82830000000004,"In the current view:

Percentage of transit commuters is high in the top-right, and the top-left.

No regions with particularly low percentage of transit commuters.

The average percentage of transit commuters is 2.5%.

The state with the highest percentage of transit commuters is District of Columbia, with 25.5% of people who take transit to work.

The state with the lowest percentage of transit commuters is Mississippi, with 0.3% of people who take transit to work.

Press l to hear the boundary of the current view.

Press m to interact with the map.",2024-04-22 12:35:43.396000-07:00
64,{'$oid': '6626bc962639f3ccd1264122'},15d91759-3d4e-445e-bc65-c309cf88bcae,user2,03ca6510-fada-4fdf-8a29-56a234bb0c51,transit,2024-04-22 19:38:02.293000+00:00,Tab,4.031011907437706,-96.0,39.82830000000004,"In the current view:

Percentage of transit commuters is high in the top-right, and the top-left.

No regions with particularly low percentage of transit commuters.

The average percentage of transit commuters is 2.5%.

The state with the highest percentage of transit commuters is District of Columbia, with 25.5% of people who take transit to work.

The state with the lowest percentage of transit commuters is Mississippi, with 0.3% of people who take transit to work.

Press l to hear the boundary of the current view.

Press m to interact with the map.",2024-04-22 12:38:02.293000-07:00
65,{'$oid': '6626bca32639f3ccd1264123'},b55ec5cf-3702-4a46-a3c2-dbcc65a50f97,user2,03ca6510-fada-4fdf-8a29-56a234bb0c51,transit,2024-04-22 19:38:15.636000+00:00,i,4.031011907437706,-96.0,39.82830000000004,"In the current view:

Percentage of transit commuters is high in the top-right, and the top-left.

No regions with particularly low percentage of transit commuters.

The average percentage of transit commuters is 2.5%.

The state with the highest percentage of transit commuters is District of Columbia, with 25.5% of people who take transit to work.

The state with the lowest percentage of transit commuters is Mississippi, with 0.3% of people who take transit to work.

Press l to hear the boundary of the current view.

Press m to interact with the map.",2024-04-22 12:38:15.636000-07:00
66,{'$oid': '6626bcc72639f3ccd1264124'},adc33ce0-b3bc-4f46-b7ae-d4d30db1b21e,user2,03ca6510-fada-4fdf-8a29-56a234bb0c51,transit,2024-04-22 19:38:51.965000+00:00,Control,4.031011907437706,-96.0,39.82830000000004,"In the current view:

Percentage of transit commuters is high in the top-right, and the top-left.

No regions with particularly low percentage of transit commuters.

The average percentage of transit commuters is 2.5%.

The state with the highest percentage of transit commuters is District of Columbia, with 25.5% of people who take transit to work.

The state with the lowest percentage of transit commuters is Mississippi, with 0.3% of people who take transit to work.

Press l to hear the boundary of the current view.

Press m to interact with the map.",2024-04-22 12:38:51.965000-07:00
67,{'$oid': '6626bd0e2639f3ccd1264125'},e6dee0df-9c78-4126-a5ec-f13f9576d891,user2,03ca6510-fada-4fdf-8a29-56a234bb0c51,transit,2024-04-22 19:40:01.812000+00:00,i,4.031011907437706,-96.0,39.82830000000004,"In the current view:

Percentage of transit commuters is high in the top-right, and the top-left.

No regions with particularly low percentage of transit commuters.

The average percentage of transit commuters is 2.5%.

The state with the highest percentage of transit commuters is District of Columbia, with 25.5% of people who take transit to work.

The state with the lowest percentage of transit commuters is Mississippi, with 0.3% of people who take transit to work.

Press l to hear the boundary of the current view.

Press m to interact with the map.",2024-04-22 12:40:01.812000-07:00
68,{'$oid': '6626bd322639f3ccd1264126'},24a8b624-e526-45b0-b59f-739275692aa2,user2,03ca6510-fada-4fdf-8a29-56a234bb0c51,transit,2024-04-22 19:40:38.518000+00:00,Control,4.031011907437706,-96.0,39.82830000000004,"In the current view:

Percentage of transit commuters is high in the top-right, and the top-left.

No regions with particularly low percentage of transit commuters.

The average percentage of transit commuters is 2.5%.

The state with the highest percentage of transit commuters is District of Columbia, with 25.5% of people who take transit to work.

The state with the lowest percentage of transit commuters is Mississippi, with 0.3% of people who take transit to work.

Press l to hear the boundary of the current view.

Press m to interact with the map.",2024-04-22 12:40:38.518000-07:00
69,{'$oid': '6626bd442639f3ccd1264127'},5836f53e-960b-4b33-84e7-e4fd13e8e315,user2,03ca6510-fada-4fdf-8a29-56a234bb0c51,transit,2024-04-22 19:40:57.053000+00:00,m,4.031011907437706,-96.0,39.82830000000004,Now interacting with the map.,2024-04-22 12:40:57.053000-07:00
70,{'$oid': '6626bd472639f3ccd1264128'},e3e1f99d-12a5-46fb-8591-e26cff8bc255,user2,03ca6510-fada-4fdf-8a29-56a234bb0c51,transit,2024-04-22 19:40:59.993000+00:00,ArrowUp,4.031011907437706,-96.0,39.82830000000004,Now interacting with the map.,2024-04-22 12:40:59.993000-07:00
71,{'$oid': '6626bd4f2639f3ccd1264129'},18f67827-b0f9-4477-8510-b9ff7fdc65b1,user2,03ca6510-fada-4fdf-8a29-56a234bb0c51,transit,2024-04-22 19:41:07.529000+00:00,ArrowUp,4.031011907437706,-96.0,41.626515541220726,"Moved up, centered on Iowa.

Press i to get more information.",2024-04-22 12:41:07.529000-07:00
72,{'$oid': '6626bd522639f3ccd126412a'},3a6b872d-09ff-40f7-ba67-9030bdbffb92,user2,03ca6510-fada-4fdf-8a29-56a234bb0c51,transit,2024-04-22 19:41:10.654000+00:00,ArrowLeft,4.031011907437706,-96.0,41.626515541220726,"Moved up, centered on Iowa.

Press i to get more information.",2024-04-22 12:41:10.654000-07:00
